date time,mmsi,rot,sog,y,x,cog,true_heading,timestamp,AIS_channel,normal,powerOutage,abnormal
10/3/2019 2:35,636016272,16,1.1,103.48115,1.252366667,9,10,44,A,0,0,1
10/3/2019 13:26,566377096,0,1.9,103.741315,1.199763333,333.1,138,19,A,0,0,1
10/3/2019 9:36,566601000,0,1.5,103.79238,1.200551667,77.6,71,53,A,0,0,1
10/1/2019 13:59,566496000,129,1.3,103.9376517,1.281985,297,261,35,A,0,0,1
10/1/2019 21:37,566377096,127,1.9,103.738735,1.197983333,284.1,10,52,A,0,0,1
10/1/2019 13:47,566241000,127,1,103.6865433,1.230851667,153.6,239,16,A,0,0,1
10/3/2019 12:10,566544000,18,1.8,104.0981733,1.330391667,194.1,180,2,A,0,0,1
10/2/2019 12:12,566218000,0,1.5,103.6575833,1.225066667,216,217,16,A,0,0,1
10/3/2019 9:31,566218000,127,1.5,103.9583833,1.2931,53,117,36,A,0,0,1
10/1/2019 18:12,566543000,9,1,103.68495,1.232936667,13.9,216,28,A,0,0,1
10/3/2019 3:14,636016272,244,1.7,103.5111,1.248583333,342,310,43,A,0,0,1
10/1/2019 5:53,566241000,127,1.7,103.7093483,1.22441,170.9,221,22,A,0,0,1
10/2/2019 10:43,566390000,127,2,103.62018,1.307225,52.1,296,36,A,0,0,1
10/1/2019 13:53,566241000,129,1.5,103.6835583,1.23285,246.6,187,29,A,0,0,1
10/1/2019 9:42,566218000,0,1.1,103.6896667,1.231666667,21,35,19,A,0,0,1
10/3/2019 14:02,566377096,127,1.9,103.7957833,1.225421667,10.5,81,52,A,0,0,1
10/1/2019 11:15,566377096,127,1.6,103.900055,1.252255,285.7,20,0,A,0,0,1
10/1/2019 11:15,566377096,127,1.6,103.9002383,1.252203333,283,11,34,A,0,0,1
10/3/2019 8:33,566788000,0,1.7,103.82735,1.474733333,34.8,139,14,A,0,0,1
10/2/2019 2:47,566392000,0,1.9,103.841285,1.26067,313.8,311,33,A,0,0,1
10/3/2019 18:52,566751000,0,1.9,103.6491067,1.297718333,326.2,322,52,A,0,0,1
10/1/2019 5:52,566241000,0,1.5,103.7092183,1.224805,174.3,203,29,A,0,0,1
10/1/2019 1:35,566287000,127,1.7,103.7534767,1.274698333,327.2,342,46,A,0,0,1
10/3/2019 9:04,566788000,127,1.3,103.83535,1.468933333,114.9,315,47,A,0,0,1
10/1/2019 14:55,574003220,127,1.8,103.7434833,1.240566667,13,5,59,A,0,0,1
10/2/2019 14:20,636016272,5,1.8,103.4778667,1.2547,112,115,1,A,0,0,1
10/2/2019 13:23,566377096,127,1.3,103.739305,1.198058333,131.6,161,12,A,0,0,1
10/2/2019 23:27,566709000,128,1.8,103.7355017,1.238701667,55.5,511,50,A,0,0,1
10/1/2019 11:20,566377096,127,1.3,103.9004467,1.255435,89.6,98,47,A,0,0,1
10/1/2019 5:57,566241000,0,1.3,103.7088667,1.223341667,81.5,265,29,A,0,0,1
10/1/2019 13:25,566241000,0,1.6,103.6895167,1.23032,259.4,251,49,A,0,0,1
10/3/2019 13:13,566724000,128,1.6,103.6887683,1.23184,250.5,511,36,A,0,0,1
10/3/2019 19:45,567388000,0,1,103.613945,1.154626667,291.4,217,33,A,0,0,1
10/1/2019 18:12,566543000,7,1,103.68493,1.232851667,14.1,215,9,A,0,0,1
10/1/2019 21:00,636016112,13,2.1,103.8660617,1.457318333,335.6,352,59,A,0,0,1
10/1/2019 13:28,566241000,0,1.1,103.688555,1.230095,263.6,248,29,A,0,0,1
10/3/2019 18:50,566751000,0,2.1,103.64979,1.29683,320.2,319,52,A,0,0,1
10/3/2019 8:59,566982000,129,1.5,103.8051667,1.23341,121,101,18,A,0,0,1
10/1/2019 5:53,566241000,127,1.6,103.7093333,1.224515,159,216,8,A,0,0,1
10/3/2019 15:30,566691000,0,1.6,103.7629417,1.2833,126.9,132,1,A,0,0,1
10/1/2019 11:20,566377096,127,1.5,103.90032,1.255431667,81.5,93,27,A,0,0,1
10/3/2019 5:00,566287000,129,1.1,103.6863167,1.20346,195.7,98,53,A,0,0,1
10/1/2019 3:32,566538000,0,2.1,103.8196133,1.216225,62.3,46,17,A,0,0,1
10/3/2019 14:01,566377096,127,1.9,103.7957483,1.224981667,11.9,72,47,A,0,0,1
10/1/2019 10:01,566218000,0,1,103.69,1.23175,112,58,59,A,0,0,1
10/3/2019 4:59,566287000,0,1,103.68638,1.203805,182.1,117,40,A,0,0,1
10/1/2019 9:12,566390000,0,2.1,103.6182933,1.309556667,341.5,217,50,A,0,0,1
10/3/2019 9:17,566382000,129,1.6,103.6522133,1.306426667,1,309,27,A,0,0,1
10/1/2019 9:24,566218000,129,1.3,103.6864333,1.227216667,50,32,58,A,0,0,1
10/1/2019 6:54,636016242,6,1,103.77082,1.266911667,225.6,78,47,A,0,0,1
10/1/2019 17:39,566543000,242,1.1,103.6898917,1.233195,244.9,221,9,A,0,0,1
10/3/2019 19:11,566751000,129,1,103.6467033,1.299641667,140.7,93,52,A,0,0,1
10/3/2019 0:59,566390000,0,1,103.6198867,1.307488333,117.9,14,15,A,0,0,1
10/3/2019 13:28,566724000,128,1.1,103.6843367,1.22782,24.1,511,58,A,0,0,1
10/3/2019 15:13,566680000,0,1.9,103.7798983,1.257436667,148.1,143,37,A,0,0,1
10/1/2019 5:53,566241000,127,1.9,103.709355,1.224293333,177.9,226,36,A,0,0,1
10/1/2019 18:00,566543000,8,1.1,103.6862717,1.230765,275.5,220,27,A,0,0,1
10/3/2019 13:06,566724000,128,1.5,103.6916183,1.234595,252.9,511,57,A,0,0,1
10/3/2019 3:32,636012897,127,1.5,103.7322483,1.285106667,26.3,75,60,A,0,0,1
